case_id,type,expected,predicted,threat_score,status,factor,raw_text
CASE_011,Satire/Sports,SAFE / LOW_RISK,SAFE,0.12,PASS,Semantic classification as harmless Sports/Political Satire dominates over moderate network metrics.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_012,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.965) and radicalization index (0.831) signal a high threat.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_013,Counter-Speech,LOW_RISK,LOW_RISK,0.26,PASS,Low violent intent probability and counter-speech categorization indicate minimal threat despite moderate network density.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_014,Civic Update,SAFE,SAFE,0.05,PASS,"Semantic content is a harmless civic announcement with low violent intent, indicating no physical threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_015,Satire/Sports,SAFE / LOW_RISK,SAFE,0.1,PASS,"Harmless semantic category dominates, indicating no physical threat.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_016,Counter-Speech,LOW_RISK,LOW_RISK,0.28,PASS,"The content is categorized as counter-speech/reporting, indicating awareness rather than endorsement of violence.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_017,Civic Update,SAFE,SAFE,0.06,PASS,Semantic classification as Civic Announcement with low violent intent probability indicates no physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_018,Civic Update,SAFE,SAFE,0.07,PASS,"Semantic content is civic announcement with low violent intent and toxicity, indicating no physical threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_019,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination coupled with high radicalization index (0.58) and violent intent probability (0.50) escalates threat.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_020,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.85) and radicalization index (0.782) drive the threat score upward.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_021,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.86,PASS,High violent intent probability (0.87) and radicalization index (0.87) indicate strong mobilization threat.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_022,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.896) and high radicalization index (0.853) drive a high-threat assessment.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_023,Satire/Sports,SAFE / LOW_RISK,SAFE,0.12,PASS,"Semantic classification as Sports/Political Satire indicates harmless content, overriding low-level network signals.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_024,Satire/Sports,SAFE / LOW_RISK,SAFE,0.1,PASS,Semantic classification as Sports/Political Satire indicates benign content with low violent intent and no coordination signals.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_025,Civic Update,SAFE,SAFE,0.04,PASS,Semantic classification as Civic Announcement with negligible violent intent overrides network signals.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_026,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Elevated violent intent probability (0.538) and radicalization index (0.458) combined with veiled community coordination signal a potential organized threat.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_027,Civic Update,SAFE,SAFE,0.12,PASS,Low violent intent and harmless civic category indicate no physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_028,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Elevated violent intent probability (0.547) and radicalization index (0.523) combined with veiled community coordination drive the threat score.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_029,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Extremely high violent intent probability (0.983) and radicalization index (0.838) drive the threat assessment.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_030,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.94) and high radicalization index (0.87) signal a high threat.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_031,Civic Update,SAFE,SAFE,0.096,PASS,Low violent intent probability and harmless semantic category indicate no physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_032,Civic Update,SAFE,SAFE,0.09,PASS,Low threat severity score (0.094) and minimal violent intent probability (0.016) show no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_033,Counter-Speech,LOW_RISK,LOW_RISK,0.29,PASS,"Violent intent probability is modest (0.195) and the content is counter-speech/reporting, indicating low physical threat.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_034,Satire/Sports,SAFE / LOW_RISK,SAFE,0.1,PASS,"Semantic classification as harmless sports/political satire dominates assessment, indicating no credible threat.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_035,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.92) and high radicalization index (0.79) signal a strong likelihood of mobilization to violence.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_036,Civic Update,SAFE,SAFE,0.07,PASS,Semantic classification as Civic Announcement with low violent intent indicates no physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_037,Satire/Sports,SAFE / LOW_RISK,SAFE,0.12,PASS,"Semantic classification as Sports/Political Satire indicates harmless content, keeping threat low despite modest violent intent probability.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_038,Civic Update,SAFE,SAFE,0.02,PASS,Low violent intent probability and benign civic category indicate no physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_039,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.842) and high radicalization index (0.714) indicate a high-threat scenario.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_040,Satire/Sports,SAFE / LOW_RISK,SAFE,0.07,PASS,"Semantic content is classified as harmless Sports/Political Satire with low threat severity and violent intent, indicating no physical threat.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_041,Counter-Speech,LOW_RISK,LOW_RISK,0.23,PASS,Low violent intent probability and counter-speech categorization indicate minimal threat despite moderate network activity.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_042,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination combined with high radicalization index (0.60) and elevated violent intent (0.43) drives the threat assessment.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_043,Satire/Sports,SAFE / LOW_RISK,SAFE,0.13,PASS,"Semantic content is Sports/Political Satire with low violent intent probability, indicating no physical threat.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_044,Civic Update,SAFE,SAFE,0.07,PASS,Semantic classification as Civic Announcement with low violent intent overrides network signals.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_045,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated radicalization index and violent intent probability indicate a high likelihood of physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_046,Satire/Sports,SAFE / LOW_RISK,SAFE,0.09,PASS,The harmless semantic category (Sports/Political Satire) indicates no physical threat despite moderate violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_047,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.827) and radicalization index (0.753) signal a high likelihood of physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_048,Satire/Sports,SAFE / LOW_RISK,LOW_RISK,0.22,PASS,Semantic content is benign satire; violent intent probability only marginally above low threshold.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_049,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.92,PASS,Extremely high violent intent probability (0.989) and radicalization index (0.842) signal imminent mobilization.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_050,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.832) and radicalization index (0.879) drive the high threat assessment.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_051,Satire/Sports,SAFE / LOW_RISK,SAFE,0.1,PASS,"Semantic classification as Sports/Political Satire indicates harmless content, overriding low-level violent intent and network metrics.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_052,Counter-Speech,LOW_RISK,LOW_RISK,0.234,PASS,"Category indicates counter-speech/reporting of violence, leading to low risk despite moderate network activity.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_053,Counter-Speech,LOW_RISK,LOW_RISK,0.28,PASS,"The Counter-Speech / Reporting classification shows awareness of violence without intent to commit it, driving the low risk assessment.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_054,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.839) and high radicalization index (0.775) signal a high threat.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_055,Satire/Sports,SAFE / LOW_RISK,SAFE,0.1,PASS,Low threat severity and toxicity scores indicate no escalation risk.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_056,Satire/Sports,SAFE / LOW_RISK,SAFE,0.07,PASS,Semantic classification as Sports/Political Satire indicates harmless content with low violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_057,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.92,PASS,Elevated violent intent probability (0.892) and high radicalization index (0.716) drive the threat score upward.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_058,Counter-Speech,LOW_RISK,LOW_RISK,0.207,PASS,"Content is counter-speech/reporting of violence with low violent intent (0.172) and radicalization (0.119), indicating no physical threat.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_059,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination paired with high radicalization (0.54) and violent intent (0.48) indicates a moderate threat.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_060,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination combined with elevated radicalization (0.503) and violent intent (0.392) drives escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_061,Counter-Speech,LOW_RISK,LOW_RISK,0.289,PASS,Counter-speech/reporting classification with low violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_062,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.91) and high radicalization index (0.742) indicate a high threat.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_063,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination combined with high radicalization index and elevated violent intent probability drives escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_064,Satire/Sports,SAFE / LOW_RISK,SAFE,0.12,PASS,Harmless semantic category indicates no physical threat despite moderate network activity.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_065,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.86,PASS,Elevated violent intent probability (0.909) and radicalization index (0.849) drive the threat score upward.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_066,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination combined with elevated radicalization (0.51) and moderate violent intent (0.339) drives escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_067,Civic Update,SAFE,SAFE,0.09,PASS,"Semantic content is a civic announcement with low threat and toxicity scores, showing no physical threat indicators.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_068,Counter-Speech,LOW_RISK,LOW_RISK,0.27,PASS,Low violent intent probability and counter-speech classification indicate awareness rather than imminent threat.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_069,Counter-Speech,LOW_RISK,LOW_RISK,0.23,PASS,"Content is counter-speech/reporting of violence with low violent intent probability (0.117), indicating awareness rather than threat.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_070,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination coupled with elevated violent intent and radicalization drives the threat level.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_071,Satire/Sports,SAFE / LOW_RISK,SAFE,0.09,PASS,"Semantic classification as Sports/Political Satire indicates harmless content, keeping threat low despite moderate violent intent.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_072,Counter-Speech,LOW_RISK,LOW_RISK,0.28,PASS,Elevated threat severity score (0.282) and moderate violent intent probability (0.179) suggest low‑risk escalation despite counter‑speech context.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_073,Civic Update,SAFE,SAFE,0.08,PASS,Low violent intent and harmless civic announcement indicate no threat.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_074,Counter-Speech,LOW_RISK,LOW_RISK,0.28,PASS,Low violent intent probability and counter-speech nature indicate minimal threat despite moderate network activity.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_075,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination coupled with elevated violent intent (0.525) and high radicalization (0.563) indicates a moderate threat.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_076,Counter-Speech,LOW_RISK,LOW_RISK,0.262,PASS,Counter-speech/reporting category with low violent intent probability (0.128) indicates awareness rather than threat.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_077,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination paired with elevated radicalization (0.58) and violent intent (0.49) drives the threat escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_078,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination with elevated violent intent (0.52) and radicalization index (0.55) indicates moderate threat.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_079,Counter-Speech,LOW_RISK,LOW_RISK,0.254,PASS,"The content is identified as counter-speech/reporting of violence, indicating awareness rather than intent, keeping risk low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_080,Counter-Speech,LOW_RISK,LOW_RISK,0.25,PASS,"The content is identified as counter-speech/reporting, indicating awareness rather than endorsement of violence, keeping risk low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_081,Satire/Sports,SAFE / LOW_RISK,SAFE,0.13,PASS,Low violent intent probability and benign semantic category outweigh network metrics.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_082,Civic Update,SAFE,SAFE,0.09,PASS,"Semantic content is a Civic Announcement with low violent intent, indicating no physical threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_083,Satire/Sports,SAFE / LOW_RISK,SAFE,0.07,PASS,Semantic content classified as harmless Sports/Political Satire with low threat severity and no veiled coordination.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_084,Civic Update,SAFE,SAFE,0.04,PASS,Semantic classification as Civic Announcement with low violent intent and toxicity indicates no physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_085,Civic Update,SAFE,SAFE,0.02,PASS,Semantic classification as Civic Announcement with low violent intent indicates no physical threat despite moderate bot swarm probability.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_086,Satire/Sports,SAFE / LOW_RISK,SAFE,0.14,PASS,Semantic content is classified as harmless sports/political satire with low threat severity and no indicators of veiled coordination or radicalization.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_087,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination combined with elevated radicalization index (0.499) and violent intent probability (0.391) drives escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_088,Civic Update,SAFE,SAFE,0.07,PASS,Semantic classification as Civic Announcement with low violent intent indicates no physical threat despite moderate network activity.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_089,Civic Update,SAFE,SAFE,0.05,PASS,Low violent intent and civic announcement classification dominate over moderate network activity.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_090,Satire/Sports,SAFE / LOW_RISK,SAFE,0.12,PASS,"Semantic classification as Sports/Political Satire indicates benign content, overriding low-level network signals.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_091,Satire/Sports,SAFE / LOW_RISK,SAFE,0.14,PASS,"Semantic classification as Sports/Political Satire indicates harmless content, keeping threat low despite moderate network activity.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_092,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination combined with high radicalization index and moderate violent intent probability drives escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_093,Civic Update,SAFE,SAFE,0.06,PASS,"The harmless Civic Announcement category and low violent intent probability dominate the assessment, overriding network metrics.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_094,Counter-Speech,LOW_RISK,LOW_RISK,0.3,PASS,"The content is categorized as counter-speech/reporting of violence with low violent intent probability, indicating awareness rather than threat.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_095,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Elevated violent intent probability and radicalization index combined with veiled community coordination escalate the threat.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_096,Civic Update,SAFE,SAFE,0.1,PASS,"Semantic content is civic announcement with low violent intent and toxicity, indicating no physical threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_097,Civic Update,SAFE,SAFE,0.08,PASS,Semantic classification as Civic Announcement with low violent intent and low toxicity indicates no physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_098,Counter-Speech,LOW_RISK,LOW_RISK,0.28,PASS,"Category indicates counter-speech/reporting of violence, suggesting low direct threat.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_099,Civic Update,SAFE,SAFE,0.06,PASS,Semantic classification as Civic Announcement with low violent intent indicates no physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_100,Satire/Sports,SAFE / LOW_RISK,SAFE,0.1,PASS,Semantic classification as Sports/Political Satire indicates harmless content with low violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
