case_id,type,expected,predicted,threat_score,status,factor,raw_text
CASE_013,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.609,PASS,Veiled community coordination combined with bot swarm penalty elevates threat to moderate risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_014,Civic Update,SAFE,SAFE,0.088,PASS,Content classified as Civic Announcement with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_015,Satire/Sports,SAFE / LOW_RISK,SAFE,0.137,PASS,Content classified as harmless sports/political satire with low threat severity.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_016,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.592,PASS,Increased threat score due to violent intent probability plus bot swarm penalty.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_017,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.804,PASS,Elevated radicalization index plus network clustering penalty escalates threat to HIGH_THREAT tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_018,Counter-Speech,LOW_RISK,LOW_RISK,0.268,PASS,Content classified as Counter-Speech with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_019,Counter-Speech,LOW_RISK,LOW_RISK,0.155,PASS,"Content is identified as counter-speech, indicating low threat and no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_020,Civic Update,SAFE,SAFE,0.076,PASS,"Content classified as Civic Announcement, indicating harmless civic content, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_021,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.502,PASS,"Added bot swarm penalty of 0.120 to violent intent probability, raising score to moderate risk.",[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_022,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.913,PASS,High radicalization index plus network clustering penalty escalates threat to HIGH_THREAT.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_023,Civic Update,SAFE,SAFE,0.032,PASS,"Content is classified as a civic announcement, indicating no threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_024,Counter-Speech,LOW_RISK,LOW_RISK,0.205,PASS,"Content is classified as counter-speech, indicating low threat potential.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_025,Satire/Sports,SAFE / LOW_RISK,SAFE,0.138,PASS,"Content classified as harmless sports/political satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_026,Civic Update,SAFE,SAFE,0.027,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, leading to low threat assessment.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_027,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.521,PASS,Veiled coordination combined with bot swarm penalty escalates threat to moderate risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_028,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.662,PASS,Escalation driven by adding bot swarm penalty to violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_029,Satire/Sports,SAFE / LOW_RISK,SAFE,0.058,PASS,"Content classified as harmless Sports/Political Satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_030,Civic Update,SAFE,SAFE,0.098,PASS,Content classified as Civic Announcement with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_031,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.802,PASS,Elevated radicalization index combined with network clustering drives high threat score.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_032,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.890,PASS,High radicalization index combined with network clustering drives escalation to HIGH_THREAT.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_033,Counter-Speech,LOW_RISK,LOW_RISK,0.215,PASS,"Content is categorized as counter-speech, indicating benign intent, resulting in low risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_034,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.461,PASS,Increased threat score due to bot swarm penalty added to violent intent probability indicating veiled coordination risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_035,Counter-Speech,LOW_RISK,LOW_RISK,0.156,PASS,"Content classified as Counter-Speech, indicating low threat despite slight severity.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_036,Counter-Speech,LOW_RISK,LOW_RISK,0.211,PASS,"Content classified as Counter-Speech indicates low threat, resulting in de-escalation to LOW_RISK.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_037,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.529,PASS,Veiled community coordination combined with detected bot swarm activity elevates threat to moderate risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_038,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.803,PASS,Elevated radicalization index plus network clustering penalty pushes the score into the high threat range.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_039,Civic Update,SAFE,SAFE,0.044,PASS,"Content is classified as a civic announcement with no violent or radical indicators, leading to a safe assessment.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_040,Counter-Speech,LOW_RISK,LOW_RISK,0.161,PASS,"Content classified as Counter-Speech with low threat severity, indicating minimal risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_041,Counter-Speech,LOW_RISK,LOW_RISK,0.222,PASS,Content classified as Counter-Speech with low threat severity indicates minimal risk.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_042,Satire/Sports,SAFE / LOW_RISK,SAFE,0.112,PASS,"Content is classified as harmless satire, resulting in low threat severity and no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_043,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.909,PASS,High radicalization index plus network clustering penalty pushes score into high threat tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_044,Civic Update,SAFE,SAFE,0.100,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_045,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.499,PASS,Escalation driven by bot swarm penalty added to violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_046,Counter-Speech,LOW_RISK,LOW_RISK,0.213,PASS,"Content classified as counter-speech indicates benign intent, keeping risk low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_047,Civic Update,SAFE,SAFE,0.072,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_048,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.550,PASS,Bot swarm penalty escalates the score into the moderate risk range.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_049,Satire/Sports,SAFE / LOW_RISK,SAFE,0.078,PASS,Content classified as harmless political satire leads to no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_050,Satire/Sports,SAFE / LOW_RISK,SAFE,0.099,PASS,"Content classified as harmless Sports/Political Satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_051,Civic Update,SAFE,SAFE,0.028,PASS,"Content classified as Civic Announcement indicates low threat, resulting in SAFE classification.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_052,Satire/Sports,SAFE / LOW_RISK,SAFE,0.055,PASS,"Content classified as harmless sports/political satire, resulting in low threat severity.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_053,Satire/Sports,SAFE / LOW_RISK,SAFE,0.063,PASS,"Content classified as Sports/Political Satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_054,Counter-Speech,LOW_RISK,LOW_RISK,0.209,PASS,"Content is categorized as Counter-Speech, indicating benign intent, resulting in low risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_055,Civic Update,SAFE,SAFE,0.035,PASS,"Content classified as Civic Announcement indicates harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_056,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.781,PASS,High radicalization index combined with network clustering pushes the score into the HIGH_THREAT range.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_057,Counter-Speech,LOW_RISK,LOW_RISK,0.271,PASS,Content classified as counter-speech indicates low threat with no escalation factors.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_058,Counter-Speech,LOW_RISK,LOW_RISK,0.254,PASS,"Content classified as Counter-Speech indicates benign intent, leading to a low risk rating.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_059,Counter-Speech,LOW_RISK,LOW_RISK,0.226,PASS,"Content labeled as Counter-Speech indicates benign intent, leading to a low risk assessment.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_060,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.578,PASS,Escalation due to veiled community coordination and bot swarm penalty increasing violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_061,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.838,PASS,Elevated radicalization index combined with network clustering drives the score into the HIGH_THREAT tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_062,Satire/Sports,SAFE / LOW_RISK,SAFE,0.073,PASS,Content classified as Sports/Political Satire with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_063,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.919,PASS,High radicalization index (0.869) plus network clustering penalty elevates threat to HIGH_THREAT.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_064,Counter-Speech,LOW_RISK,LOW_RISK,0.219,PASS,Content classified as Counter-Speech with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_065,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.866,PASS,Elevated radicalization index combined with network clustering drives the score into the high-threat range.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_066,Counter-Speech,LOW_RISK,LOW_RISK,0.270,PASS,Content classified as Counter-Speech indicates low threat.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_067,Civic Update,SAFE,SAFE,0.062,PASS,"Content classified as Civic Announcement indicates harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_068,Counter-Speech,LOW_RISK,LOW_RISK,0.196,PASS,Content classified as Counter-Speech with low threat severity indicates de-escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_069,Civic Update,SAFE,SAFE,0.056,PASS,Content classified as Civic Announcement with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_070,Civic Update,SAFE,SAFE,0.050,PASS,"Content classified as Civic Announcement indicates low threat, resulting in SAFE tier.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_071,Civic Update,SAFE,SAFE,0.028,PASS,"Content classified as Civic Announcement indicates harmless civic content, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_072,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.883,PASS,High radicalization index combined with network clustering drives escalation to HIGH_THREAT.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_073,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.532,PASS,Escalation due to veiled community coordination and bot swarm penalty increasing violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_074,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.901,PASS,Elevated radicalization index combined with network clustering drives the score into the HIGH_THREAT tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_075,Counter-Speech,LOW_RISK,LOW_RISK,0.222,PASS,"Content classified as Counter-Speech, indicating benign intent, resulting in low risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_076,Counter-Speech,LOW_RISK,LOW_RISK,0.171,PASS,Content classified as Counter-Speech with low threat severity results in minimal risk.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_077,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.832,PASS,Elevated radicalization index combined with network clustering drives high threat score.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_078,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.857,PASS,High radicalization index plus network clustering penalty escalates threat to HIGH_THREAT.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_079,Counter-Speech,LOW_RISK,LOW_RISK,0.236,PASS,"Content classified as Counter-Speech with low threat severity, indicating minimal risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_080,Satire/Sports,SAFE / LOW_RISK,SAFE,0.140,PASS,"Content is classified as harmless satire, indicating no threat escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_081,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.921,PASS,High radicalization index combined with network clustering escalates threat to HIGH_THREAT.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_082,Satire/Sports,SAFE / LOW_RISK,SAFE,0.140,PASS,"Content classified as harmless political satire, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_083,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.485,PASS,Increased due to bot swarm penalty reflecting coordinated network activity.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_084,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.537,PASS,Increased threat score due to bot swarm penalty added to violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_085,Satire/Sports,SAFE / LOW_RISK,SAFE,0.137,PASS,"Content classified as harmless sports/political satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_086,Satire/Sports,SAFE / LOW_RISK,SAFE,0.106,PASS,Content classified as harmless sports/political satire results in low threat severity.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_087,Counter-Speech,LOW_RISK,LOW_RISK,0.155,PASS,"Content classified as Counter-Speech indicates benign intent, keeping risk low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_088,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.597,PASS,Added bot swarm penalty to violent intent probability increases risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_089,Counter-Speech,LOW_RISK,LOW_RISK,0.169,PASS,Content classified as Counter-Speech with low threat severity indicates minimal escalation risk.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_090,Satire/Sports,SAFE / LOW_RISK,SAFE,0.053,PASS,"Content is harmless satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_091,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.535,PASS,The threat score increased due to adding the bot swarm penalty to the violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_092,Satire/Sports,SAFE / LOW_RISK,SAFE,0.095,PASS,"Content classified as harmless sports/political satire, resulting in low threat severity.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_093,Satire/Sports,SAFE / LOW_RISK,SAFE,0.054,PASS,"Content classified as harmless political satire, indicating no threat escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_094,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.762,PASS,High radicalization index combined with network clustering pushes the score into the HIGH_THREAT tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_095,Counter-Speech,LOW_RISK,LOW_RISK,0.289,PASS,"Content classified as Counter-Speech indicates benign intent, keeping risk low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_096,Satire/Sports,SAFE / LOW_RISK,SAFE,0.088,PASS,Content classified as Sports/Political Satire with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_097,Counter-Speech,LOW_RISK,LOW_RISK,0.209,PASS,"Content classified as counter-speech, indicating low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_098,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.560,PASS,"Score increased by adding bot swarm penalty to violent intent probability, reflecting veiled coordination risk.",[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_099,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.421,PASS,Veiled community coordination combined with bot swarm penalty raises the threat into moderate risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_100,Counter-Speech,LOW_RISK,LOW_RISK,0.237,PASS,"Content is classified as Counter-Speech, indicating benign intent, resulting in low risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_101,Satire/Sports,SAFE / LOW_RISK,SAFE,0.123,PASS,"Content is categorized as Sports/Political Satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_102,Counter-Speech,LOW_RISK,LOW_RISK,0.288,PASS,"Content is categorized as Counter-Speech with low threat severity, indicating minimal risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_103,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.529,PASS,Veiled community coordination combined with bot swarm presence raises the threat from low to moderate risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_104,Satire/Sports,SAFE / LOW_RISK,SAFE,0.097,PASS,"Content classified as Sports/Political Satire, indicating harmless satire, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_105,Civic Update,SAFE,SAFE,0.044,PASS,Content classified as Civic Announcement with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_106,Civic Update,SAFE,SAFE,0.073,PASS,Content classified as civic announcement with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_107,Civic Update,SAFE,SAFE,0.025,PASS,"Content classified as Civic Announcement, indicating harmless civic communication with low threat severity.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_108,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.538,PASS,Bot swarm penalty added to violent intent probability due to veiled coordination detection.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_109,Satire/Sports,SAFE / LOW_RISK,SAFE,0.133,PASS,"Content classified as harmless satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_110,Satire/Sports,SAFE / LOW_RISK,SAFE,0.097,PASS,"Content classified as harmless sports/political satire, indicating low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_111,Satire/Sports,SAFE / LOW_RISK,SAFE,0.072,PASS,"Content classified as harmless sports/political satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_112,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.664,PASS,Escalation driven by veiled community coordination and bot swarm penalty raising the threat score.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_113,Satire/Sports,SAFE / LOW_RISK,SAFE,0.124,PASS,"Content classified as harmless political satire, indicating no threat escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_114,Civic Update,SAFE,SAFE,0.037,PASS,Content classified as Civic Announcement with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_115,Counter-Speech,LOW_RISK,LOW_RISK,0.283,PASS,"The content is classified as Counter-Speech with low threat severity, indicating minimal risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_116,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.496,PASS,The veiled coordination combined with bot swarm probability elevates the threat to moderate risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_117,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.636,PASS,"Veiled coordination detected and bot swarm probability adds 0.120, raising the score to moderate risk.",[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_118,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.902,PASS,High radicalization index (0.852) combined with network clustering penalty elevates threat to HIGH_THREAT.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_119,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.507,PASS,Added bot swarm penalty to violent intent probability escalates the score into the moderate risk band.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_120,Counter-Speech,LOW_RISK,LOW_RISK,0.249,PASS,"Content classified as Counter-Speech with low threat severity, indicating minimal risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_121,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.823,PASS,High radicalization index combined with network clustering pushes the score into the HIGH_THREAT tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_122,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.759,PASS,Elevated radicalization index combined with network clustering penalty pushes score into high-threat tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_123,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.661,PASS,Elevated violent intent probability combined with bot swarm penalty escalates risk to moderate.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_124,Satire/Sports,SAFE / LOW_RISK,SAFE,0.114,PASS,"Content classified as harmless sports/political satire, indicating no threat escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_125,Satire/Sports,SAFE / LOW_RISK,SAFE,0.143,PASS,Content classified as harmless sports/political satire with low threat severity score.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_126,Counter-Speech,LOW_RISK,LOW_RISK,0.227,PASS,"Content classified as Counter-Speech, indicating benign intent, resulting in low risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_127,Satire/Sports,SAFE / LOW_RISK,SAFE,0.124,PASS,Content classified as Sports/Political Satire with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_128,Satire/Sports,SAFE / LOW_RISK,SAFE,0.102,PASS,Content classified as Sports/Political Satire with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_129,Counter-Speech,LOW_RISK,LOW_RISK,0.167,PASS,"Content classified as Counter-Speech with low threat severity, indicating minimal risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_130,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.838,PASS,Elevated radicalization index combined with network clustering pushes score into high threat range.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_131,Counter-Speech,LOW_RISK,LOW_RISK,0.212,PASS,Content classified as Counter-Speech with low threat severity indicates minimal risk.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
